,loss,val_loss,accuracy,val_accuracy
0,0.5386017732659485,0.45995357767544653,0.817361111258283,0.9131687244270074
1,0.45527719973046105,0.44989548188178136,0.9167695474722748,0.9205311215463489
2,0.4460030962778217,0.4410887095663283,0.9213927469135802,0.9243184156378601
3,0.4369101808885488,0.43032449716893734,0.9221322016460906,0.9269933129043736
4,0.4270979800096755,0.4193047536498725,0.9249099794729256,0.9250643005586946
5,0.4163841836982303,0.40597774646409746,0.9253279321478227,0.9280478395061729
6,0.4043643489296054,0.3960089520417123,0.9283371913580247,0.9331275720164609
7,0.3913036284378036,0.38421897559499546,0.9310378086419753,0.9309413580246914
8,0.38187582735662107,0.37280174905871166,0.9304976853323571,0.9340599279835391
9,0.3694749502120195,0.3669074752939091,0.9339634773662552,0.9366383746327687
10,0.35899234995429896,0.35024726991790806,0.9344778806584362,0.9364776236039621
11,0.34817688075112707,0.33994034545902363,0.9361882717521103,0.9365226336957987
12,0.33907103587570503,0.3267484102168201,0.9356738684599292,0.9395897633744856
13,0.3271614693933063,0.3187968825361856,0.9382394547325102,0.9418788581718633
14,0.31634731866695265,0.31055822539231415,0.9402713478837975,0.9444122942386831
15,0.30707670251528424,0.29761119174613876,0.941177983588152,0.9437692901234568
16,0.29443658066629874,0.28754609418504035,0.9428369341563786,0.9446437758673366
17,0.28614105541764956,0.2781375599986732,0.9436406893004116,0.9458590534979424
18,0.2763429891793326,0.267806756888888,0.9442515432098766,0.9498521092006699
19,0.267440641367877,0.2696096993400236,0.9458912037037037,0.9361947016951478
20,0.2603983487857222,0.2515926416886687,0.9445151750442913,0.9507780349794238
21,0.2509683766114859,0.24906493754053313,0.9482124487068427,0.9508423353909465
22,0.2420060017717228,0.23527154890598093,0.9500707304526749,0.9497492283950617
23,0.2356985397176978,0.22633022903905484,0.9475694445916164,0.9542181069958847
24,0.22730333894613838,0.2191559584665691,0.9506494341563786,0.9522890946502057
25,0.21972386594171878,0.2106781214966205,0.9523855452674898,0.9554398148148148
26,0.21293655546849646,0.20867148225690113,0.9532278808056082,0.9515496399176955
27,0.2087942682850508,0.19891689165874762,0.95229552483853,0.9566936728395061
28,0.20064280445806285,0.1922284293260594,0.9547003600823045,0.9583011831275721
29,0.19409431054145712,0.18778426019252573,0.9554398148148148,0.9561471193415638
